,Kode,Nama Perusahaan,Tipe,Currency
0,AKPI,Argha Karya Prima Industry Tbk,Basic Materials,IDR
1,ALDO,Alkindo Naratama Tbk.,Basic Materials,IDR
2,ALKA,Alakasa Industrindo Tbk,Basic Materials,IDR
3,ALMI,Alumindo Light Metal Industry ,Basic Materials,USD
4,ANTM,Aneka Tambang Tbk.,Basic Materials,IDR
5,APLI,Asiaplast Industries Tbk.,Basic Materials,IDR
6,BAJA,Saranacentral Bajatama Tbk.,Basic Materials,IDR
7,BMSR,Bintang Mitra Semestaraya Tbk,Basic Materials,IDR
8,ADMG,Polychem Indonesia Tbk,Basic Materials,USD
9,AGII,Aneka Gas Industri Tbk.,Basic Materials,IDR
10,BRMS,Bumi Resources Minerals Tbk.,Basic Materials,USD
11,BRNA,Berlina Tbk.,Basic Materials,IDR
12,BRPT,Barito Pacific Tbk.,Basic Materials,USD
13,CITA,Cita Mineral Investindo Tbk.,Basic Materials,IDR
14,CLPI,Colorpak Indonesia Tbk.,Basic Materials,IDR
15,CTBN,Citra Tubindo Tbk.,Basic Materials,USD
16,DKFT,Central Omega Resources Tbk.,Basic Materials,IDR
17,DPNS,Duta Pertiwi Nusantara Tbk.,Basic Materials,IDR
18,EKAD,Ekadharma International Tbk.,Basic Materials,IDR
19,ESSA,Surya Esa Perkasa Tbk.,Basic Materials,USD
20,FASW,Fajar Surya Wisesa Tbk.,Basic Materials,IDR
21,FPNI,Lotte Chemical Titan Tbk.,Basic Materials,USD
22,GDST,Gunawan Dianjaya Steel Tbk.,Basic Materials,IDR
23,IGAR,Champion Pacific Indonesia Tbk,Basic Materials,IDR
24,INKP,Indah Kiat Pulp & Paper Tbk.,Basic Materials,USD
25,INRU,Toba Pulp Lestari Tbk.,Basic Materials,USD
26,INTD,Inter Delta Tbk,Basic Materials,IDR
27,INTP,Indocement Tunggal Prakarsa Tb,Basic Materials,IDR
28,IPOL,Indopoly Swakarsa Industry Tbk,Basic Materials,USD
29,ISSP,Steel Pipe Industry of Indones,Basic Materials,IDR
30,JKSW,Jakarta Kyoei Steel Works Tbk.,Basic Materials,IDR
31,KDSI,Kedawung Setia Industrial Tbk.,Basic Materials,IDR
32,KRAS,Krakatau Steel (Persero) Tbk.,Basic Materials,USD
33,LMSH,Lionmesh Prima Tbk.,Basic Materials,IDR
34,LTLS,Lautan Luas Tbk.,Basic Materials,IDR
35,MDKA,Merdeka Copper Gold Tbk.,Basic Materials,USD
36,NIKL,Pelat Timah Nusantara Tbk.,Basic Materials,USD
37,OKAS,Ancora Indonesia Resources Tbk,Basic Materials,USD
38,PICO,Pelangi Indah Canindo Tbk,Basic Materials,IDR
39,PSAB,J Resources Asia Pasifik Tbk.,Basic Materials,USD
40,SIMA,Siwani Makmur Tbk,Basic Materials,IDR
41,SMBR,Semen Baturaja (Persero) Tbk.,Basic Materials,IDR
42,SMCB,Solusi Bangun Indonesia Tbk.,Basic Materials,IDR
43,SMGR,Semen Indonesia (Persero) Tbk.,Basic Materials,IDR
44,SPMA,Suparma Tbk.,Basic Materials,IDR
45,SQMI,Wilton Makmur Indonesia Tbk.,Basic Materials,IDR
46,SRSN,Indo Acidatama Tbk,Basic Materials,IDR
47,SULI,SLJ Global Tbk.,Basic Materials,USD
